time blob_mass ism_mass r_forward r_reverse total_mass E_blob E_ism blob_energy ism_energy total_energy ism_rest total_lum reverse_lum reverse_lum2 reverse_lum3 blob_mass2 critical_mass maxgamma blob_kinetic swept_up
0.0 94846193.71984519 0.0 0.0 7.528166926098881 5190008552.336468 0.0 0.0 142269513.46108603 0.0 142269513.4610862 0.0 0.0005422218921011014 0.00054222189207984 0.0005422218920798398 0.0 37938481.575996876 15175394.07763711 2.499999761581421 142269270.1394738 0.0
3.861111111111111 95032665.43886222 41293.373708261 13.705124403923604 12.933004719195512 5190052917.269068 0.0 0.0 142333612.68904415 2498.057088338368 142336110.80001763 40897.59878049002 419.4351459363712 244.48718776369194 419.4330436153359 0.0 38123691.637663215 15249383.580214335 2.5000152587890625 141967275.23024485 95073959.5384618
7.722222222222222 95255956.32552467 66017.93508745042 17.565722827564056 16.793603142835966 5190060450.486439 0.0 0.0 142345355.99990362 2021.8023145073105 142347377.81841365 65734.07301973437 1054.9456220053432 592.3692159065846 1054.9450683102457 0.0 38364857.53626483 15333717.87475136 2.501993179321289 141528116.62222832 95321975.08858766
11.583333333333334 95538662.31855886 113766.48691665239 21.04026140884046 20.268141724112372 5190063410.062297 0.0 0.0 142339842.89342833 11955.971804608022 142351799.86254898 111207.06050666008 2057.916972006468 1202.2069851366884 2057.8805417522835 0.0 38685014.15265664 15418955.817376062 2.508925676345825 140885323.04999104 95652429.37232031
15.444444444444445 95929851.68044034 237838.34137869344 24.900859832480915 23.742680305388777 5190064898.228081 0.0 0.0 142321115.60438415 32908.048167051595 142354023.65255123 230105.67354910742 3545.599258418321 2083.5662945716194 3545.2875626570344 0.0 39137434.51892289 15570467.268012404 2.51356840133667 139973843.15998504 96167690.180146
19.305555555555557 96617188.54126766 171058.96986761392 28.37539841375732 27.60327872902923 5190065751.616045 0.0 0.0 142351662.25320378 3630.4802590021804 142355292.7500916 170592.7989327558 5596.610675801098 3299.1818557945703 5595.240953017384 0.0 39892585.18533442 15531712.261141581 2.56846022605896 138808407.0969776 96788247.50007463
23.166666666666668 97356652.60209489 222496.483364849 31.849936995033726 31.077817310305637 5190066295.862405 0.0 0.0 142349617.01103345 6489.043173057666 142356106.1168742 221531.31114243672 8335.076924931549 4971.294659353776 8332.12083901879 0.0 40732098.157021254 15663316.66558972 2.6004772186279297 137340796.33102593 97579148.91780384
27.02777777777778 98285497.88472758 275787.0676044561 35.324475576310135 34.552355891582046 5190066653.520664 0.0 0.0 142348156.88554102 8461.802122338746 142356618.7773859 274496.50820610154 11864.186305362531 7180.8134107288915 11860.221342210796 0.0 41790878.196510464 15687440.48044531 2.663970470428467 135551708.79686797 98561284.44098979
30.88888888888889 99091013.88361782 664490.7978525246 38.79901415758654 37.6408346304944 5190066907.767535 0.0 0.0 142219703.05718496 137283.01266142193 142356986.13157868 630174.3354088247 16282.951249836107 9946.667834613892 16279.45208968768 0.0 42787606.96137813 14850474.819914404 2.88122820854187 133409250.19232003 99755504.76141915
34.75 100430342.27879705 752258.5944752069 42.273552738862946 41.11537321177081 5190067098.949213 0.0 0.0 142232121.34782702 125150.87977619673 142357272.2458945 720762.3533453974 21573.715516634293 13216.860110263025 21571.684036790175 0.0 44312155.824099004 13538436.80267398 3.2730629444122314 130930052.3107813 101182601.4606659
38.611111111111114 102042838.05875535 820495.0534086985 45.74809132013935 44.589911793047214 5190067242.84844 0.0 0.0 142260633.3551554 96847.71134488638 142357481.06650028 796572.6904898122 27838.968521378465 16994.705427153116 27838.18987848698 0.0 46133960.63364169 12960463.899322629 3.559591770172119 128079818.53690945 102863333.24009527
42.47222222222222 103945983.95828095 640374.141875671 48.836570059051716 48.06445037432363 5190067355.598336 0.0 0.0 142295010.59507334 62620.64182531297 142357637.18218413 626042.1638295912 35042.89330043534 21144.05560482598 35042.69236544338 0.0 48271919.90845103 12530598.61306106 3.852323532104492 124871202.58125165 104586357.88564582
46.333333333333336 105438316.34844452 1364941.1845399148 52.31110864032812 51.152929113235984 5190067443.305439 0.0 0.0 141981482.39677376 376269.62811054237 142357752.91805664 1269457.0243432522 43121.46104619576 25505.707086351522 43101.624838887394 0.0 50118979.72374034 12669229.257452821 3.955961227416992 121216080.9541241 106803257.06730326
50.19444444444444 106918012.48552673 2415526.6280632615 55.78564722160453 54.24140785214835 5190067513.135846 0.0 0.0 141083110.38020805 1274738.2738392823 142357848.71747455 2128269.792847927 51993.26144215293 29945.923346328553 51988.819751711424 0.0 52093113.92723436 16301180.490918797 3.195665121078491 117113429.2420969 109333539.15421133
54.05555555555556 109785286.0781317 2075842.6643454684 58.874125960516885 57.715946433424755 5190067578.241011 0.0 0.0 141476828.5491428 881102.0118737206 142357948.43588972 1860451.8142712163 61566.898836540066 34319.59138106172 61457.51500352944 0.0 55216409.69820016 17288449.36950875 3.1938323974609375 113125573.47727564 111861128.4396726
57.916666666666664 111593593.7212709 3447795.354139751 62.3486645417933 60.80442517233711 5190067626.347295 0.0 0.0 140009033.70468393 2348965.5138834403 142358000.80085957 2947247.6068504467 71725.77792295796 38360.18390891663 70997.74392381938 0.0 57662508.402517505 12231143.907567834 4.714400291442871 108482753.3363968 115041388.751785
61.77777777777778 113390370.9645111 5204102.077949654 65.8232031230697 63.892903911249476 5190067670.85808 0.0 0.0 137439932.6203969 4918129.33400334 142358061.99846134 4271135.058217951 82045.25748375931 41785.30680968351 79496.57409701863 0.0 60267012.5155958 11207032.047263246 5.3776068687438965 103489557.53334463 118594472.87050062
