              R_RS           Rdiss0p5           Rdiss0p1               R_sw             R_slow           R_spread              gamma
------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ------------------
1950.2741795321158 1740.0460038337246  3768.266463527562  508.8313066001308                0.0                0.0  1.023292992280754
 604.2588180944207  530.1543506298981  1753.511231265586 238.23867256545762                0.0                0.0 1.0969883621338918
343.98220044221773  309.8863610236577 1162.1128325160857 175.92256405371518  272.6920825741035                0.0 1.1759911147002502
235.85727733084332   217.943370538648  823.6615178332506 145.97395251446324 276.50727985381246                0.0 1.2606834763167176
176.86479813982606  167.4063424016439  629.7003243060361 128.05274739734517  271.5490659891138                0.0 1.3514752004424015
139.95821008105546 135.49690561134548 505.79782146597057 116.08036165344043  266.1423946442303                0.0   1.44880555010302
 114.8577691455583 113.56790756686398  419.7979202292022 107.53121609414119  261.4523860007793                0.0 1.5531454231066912
 96.78765027771097  97.60386053936271 356.67898731200154 101.14779560917844  257.5633051242056                0.0 1.6649996303132155
 83.22536931461238  85.48299386874102 308.45631699529923   96.2266014575443  254.3647849765447                0.0 1.7849093379794287
 72.71383035908605  75.97794689562706  270.4829492621944  92.34048921956331  251.7280000198909                0.0  1.913454685997041
 64.35388463232384  68.32947410738022 239.86587585439207  89.21388415775951 249.54208833168497                0.0 2.0512575946903535
 57.56179899367796  62.04295228522663  214.7074171651841  86.66045103533995 247.71824548791474                0.0   2.19898477375354
51.943078028555995  56.78263289588975 193.70980485879446  84.54940520274191 246.18671595451136                0.0 2.3573509478851458
 47.22227817681312  52.31287625986361 175.95483317770316  82.78614577096772 244.89292301717944                0.0  2.527122314725872
 43.20181798775328 48.463678671671666 160.77410103115014  81.30050712043713 243.79388333560178                0.0 2.7091202518296416
39.736709554092684  45.10952473417198 147.66916999533743  80.03934377480124 242.85551281001926                0.0 2.9042252906027737
 36.71846320174182  42.15590746733756 136.26072181697165  78.96168363610056 242.05058559626136                0.0 3.1133813764377547
 34.06452374765075  39.53046781955037 126.25480307900904  78.03545318389338 241.35710879251852                0.0 3.3376004356527136
31.711125392463398 37.176987669728355 117.42011239169105  77.23523409361249 240.75735216809858                0.0 3.5779672713321045
 29.60836825852543  35.05123703762732 109.57206993496887  76.54061205065642 240.23666595506552                0.0  3.835644811755344
 27.71673662818185  33.11802622178609 102.56164454005251   75.9350711746457 239.78308694751325                0.0  4.111879736806042
26.004601030727525 31.349079156300647  96.26718672129608  75.40509228916413 239.38670516951768                0.0  4.408008509583178
 24.44639640110718 29.721474908890414   90.5884306576213  74.93955564348543 239.03916885735862                0.0  4.725463842395996
 23.02127119803712 28.216483156549604  85.44204305108775  74.52923876238582 238.73363879808576                0.0  5.065781628425999
21.712072952092736 26.818684575367932   80.7582291533749   74.1664349781801 238.46425834379008                0.0  5.430608372592402
20.504583337708272  25.51530170002583  76.47814991387553  73.84469026413194 238.22611893424917                0.0  5.821709157572605
19.386924130077507 24.295675777184478  72.55187509838218  73.55854688960028 238.01506152790245                0.0  6.240976183518385
 18.34910412528536 23.150863437433074  68.93683755394488  73.30338888197497 237.82753297342433                0.0  6.690437922784184
17.382660493367464  22.07331530906405  65.59656563023528  73.07528862857286  237.6605409944035                0.0  7.172268933959294
 16.48037817487496  21.05662203539961  62.49967817937841  72.87088656232366 237.51150512633131                0.0  7.688800382685645
 15.63606726150918 20.095311416235017 59.619085909138654  72.68730899383499 237.37814761564977                0.0   8.24253132016235
14.844384193934436  19.18468393923712    56.931305979443  72.52206354417461  237.2586061393247                0.0  8.836140773903997
14.100689382078032  18.32068045264407   54.4159725751731  72.37302142573431  237.1512320291316                0.0  9.472500709249461
13.400930541692912  17.49977501604358   52.0553301505429  72.23833079201168 237.05457654562002                0.0 10.154689924330807
  12.7415493542757 16.718884452079354  49.83390613916556  72.11637927271511 236.96741180754208                0.0 10.886008945728117
12.119403897850287 15.975297829277762 47.738169903909004  72.00576502806508 236.88865750045275                0.0 11.669995996877487
11.531706076746742 15.266616320007914  45.75628903665829   71.9052694509224 236.81736236020868                0.0  12.51044411648951
 10.97596876965318 14.590703710567853  43.87788561960725  71.81381597255906 236.75275700766252                0.0 13.411419509799689
10.449963382941878 13.945645698951667  42.09385409213268  71.73046302985061 236.69406992838856                0.0 14.377281221436535
 9.951682617061625 13.329717238382692  40.39620031145757  71.65439207799933 236.64070970807754                0.0 15.412702225087497
 9.479312729197199  12.74135210435684 38.777890040367616  71.58486419818934 236.59209469801073                0.0 16.522692031997533
   9.0312061441028 12.179122022794568  37.23273307803939  71.52123580317999 236.54775824961794                0.0 17.712620927683226
 8.605861261908817  11.64171608134445  35.75527593410334  71.46293844847796 236.50726492678032                0.0 18.988245954123258
 8.201904333522053 11.127924761942312  34.34070611447555    71.409462345763  236.4702261213317                0.0  20.35573876313053
 7.818074521838812 10.636627136431798  32.98477335721446  71.36035597186667   236.436310881778                0.0 21.821715475664465
 7.453210360507974 10.166777728320659  31.68371699295755  71.31521544839289 236.40521254851723                0.0 23.393268691547153
7.1062392277353625  9.717399780162097 30.434202128812203  71.27368169110328 236.37669315860592                0.0 25.078001804450555
 6.776167594297645  9.287575503744202  29.23326976989487  71.23542835587834 236.35045974954818                0.0  26.88406578817573
6.4620728720746134  8.876439898814922 28.078282481838958   71.2001733309514 236.32636522491185                0.0 28.820198632201038
 6.163095963233165    8.4831752962152 26.966890057605955  71.16765060790749 236.30419032095935                0.0 30.895767617294034
 5.878436053146695  8.107007121004006 25.896979465775857   71.1376265117227 236.28373610777035                0.0  33.12081463572255
 5.607344274427537  7.747199358797111  24.86665479220432  71.10988969502468 236.26490348086492                0.0   35.5061047753301
  5.34911938085455  7.403051493606852 23.874200745097912  71.08424978344044  236.2474909571099                0.0  38.06317840253256
 5.103103664563264  7.073895699689281 22.918059597012192  71.06053542950464  236.2314361562712                0.0  40.80440699622061
 4.868679213065439  6.759094354230527 21.996808687534575  71.03858398484455  236.2166068481839                0.0 43.743053002700236
 4.645264737609131  6.458038017217085  21.10914078017749  71.01825884852379 236.20287855242927                0.0  46.89333400125802
 4.432312739756619  6.170143628326617 20.253847714346595  70.99942544546695 236.19017544147292                0.0 50.270491490792836
4.2293068454783596  5.894852898939187 19.429803993159037  70.98197232574998 236.17843773604977                0.0  53.89086463031351
  4.03575960537487  5.631630951737874 18.635958877289177  70.96578716352256 236.16754966528688  0.923238806979656 57.771969290069364
 3.851210371221856  5.379965126416148 17.871319542956623  70.95077316952657  236.1574640154492 1.9254952067170117 61.932582795773556
 3.675223563572117  5.139363910585087 17.134944412893258  70.93683955439133 236.14811869306752 2.3543197341733517  66.39283477592429
3.5073867609841916  4.909355846589955 16.425936909670554   70.9239030751292 236.13944923010808 2.6472050087589722  71.17430455175521
 3.347309396603135  4.689488762153649 15.743437456236688  70.91188920092792 236.13140567663055  2.871288414653161  76.30012554100162
3.1946212498560094  4.479328881506931  15.08661815188944  70.90072909427938 236.12393572743264 3.0523926209030217  81.79509718060241
 3.048971180573516   4.27846006620713  14.45467832384872  70.89035585404764 236.11701571606656  3.203605444240233  87.68580490983504
 2.910026028186142  4.086483117547813  13.84684209316717  70.88071890180395 236.11058030531197 3.3326180556141347   94.0007487943793
2.7774694533066713 3.9030151939138893 13.262353272992252  70.87175581189801 236.10459049717122  3.444395567322769 100.77048141361044
2.6510009546728655 3.7276888664665666   12.7004750219634  70.86342277787696 236.09903948121215 3.5423596918279197 108.02775567823984
  2.53033503149262 3.5601520047179567  12.16048737166188  70.85567054257375 236.09387165836836 3.6289850069129703 115.80768329346581
  2.41520027334449 3.4000668249015322 11.641686031450558  70.84845951693816  236.0890679306237 3.7061284543332293 124.14790463430094
 2.305338587719418  3.247109481310246 11.143381492746343   70.8417506838894 236.08460418855222  3.775224873470573 133.08877085495692
2.2005044748291063  3.100969524937807 10.664898378710587  70.83550648567555 236.08044590717898  3.837409524427299 142.67353911335672
2.1004643422531935  2.961349405990734 10.205575092753358  70.82969480593596 236.07658041065747 3.8935983556192846 152.94858185529915
2.0049958697181336 2.8279639757390207  9.764763424254802  70.82428470928984 236.07298344187785  3.944542547285676 163.96361117081958
1.9138874121562979  2.700540018673091  9.341828686941275  70.81924732345506 236.06962346356696 3.9908668072928006   175.771919308216
1.8269374458660648  2.578815800717496  8.936149522347211  70.81455466896962 236.06651707167916  4.033096801348922 188.43063650938007
