              R_RS           Rdiss0p5           Rdiss0p1               R_sw             R_slow           R_spread              gamma
------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ------------------
 2298.723798075211    2060.1804786283  4361.577232028421  628.7080540304265                0.0                0.0  1.023292992280754
 857.2436380715651  761.5299523280953 2031.6321591305477 358.11542325963194                0.0                0.0 1.0969883621338918
 546.6431554960272 498.37951131957334 1478.8046453427746  295.7993173549655  444.3721776009521                0.0 1.1759911147002502
 409.5687509858381 382.19693064894665 1161.4117787800742 265.85070602459336  469.8146804785717                0.0 1.2606834763167176
  330.503557341967 315.04563260028436  943.7171769749968  247.9295010460864  474.7049370711172                0.0 1.3514752004424015
 278.3293733578159  270.5833579944745  794.7822487501202  235.9571175872926 474.97787323829607                0.0   1.44880555010302
 240.9585652223127 238.59247115686608  688.8753335381035 227.40797345632433 473.98649662371133                0.0 1.5531454231066912
212.66266371111197 214.23681906770895  609.2775481230061  221.0245511124043 472.69520284502056                0.0 1.6649996303132155
190.35832627709496 194.91589020259514  547.0142823086017 216.10335677088733  471.4184241186042                0.0 1.7849093379794287
 172.2314354059046 179.10065535813024 496.81476211092246 212.21724772252765  470.2581584485536                0.0  1.913454685997041
 157.1418913229862 165.83054721687583 455.36926054538793 209.09063984367032  469.2398137665679                0.0 2.0512575946903535
144.33581254525896 154.47052826509915 420.48917809610947 206.53720675146573 468.36041793972714                0.0   2.19898477375354
133.29407003575042  144.5833819433591 390.66613840500764 204.42616096380112  467.6069551080575                0.0 2.3573509478851458
123.64719184268048  135.8580446500268  364.8249209295489  202.6628957302851  466.9638171026617                0.0  2.527122314725872
115.12485492800364 128.06709392807085  342.1772602175996 201.17726449906473  466.4157485930906                0.0 2.7091202518296416
107.52459855202837 121.04042639707733  322.1312529706756 199.91611457102002 465.94887638991077                0.0 2.9042252906027737
100.69169061710025 114.64831501556597  304.2334617127907 198.83845457426136 465.55113870504084                0.0 3.1133813764377547
 94.50577548578825 108.79016645237753 288.13022308923644 197.91222654324235 465.21206828341275                0.0 3.3376004356527136
  88.8717637154249  103.3868377396092  273.5415022418023  197.1120045417786  464.9228002319835                0.0 3.5779672713321045
 83.71347469523144  98.37526562663652  260.2425261759109  196.4173817193352  464.6757524541926                0.0  3.835644811755344
 78.96910309869004  93.70462512692204  248.0507458420045 195.81183471786898  464.4647079131646                0.0  4.111879736806042
  74.5879329048328   89.3335365341589  236.8162943140404 195.28185648944492 464.28415304541875                0.0  4.408008509583178
 70.52790971105367  85.22799611225828 226.41501864350417 194.81631915610515 464.12958399463133                0.0  4.725463842395996
 66.75382353084112  81.35981870859825 216.74317239486177 194.40599838784297  463.9971248638073                0.0  5.065781628425999
 63.23593275856296  77.70545491613376 207.71345667284896  194.0431904954252  463.8835104798374                0.0  5.430608372592402
 59.94890497397018  74.24507588582973 199.25191812212466 193.72144999326522 463.78606361966456                0.0  5.821709157572605
56.870995293090644  70.96186072995306 191.29552445987696  193.4353117191219 463.70224425997134                0.0  6.240976183518385
 53.98340541734422  67.84143897041824 183.79030474276536 193.18015595538776 463.63031916366964                0.0  6.690437922784184
51.269769938680994   64.8714414491356 176.68984589436397 192.95206158186897 463.56838018214023                0.0  7.172268933959294
48.715752719620745  62.04114746382505 169.95405083922958 192.74765859826348  463.5150394469464                0.0  7.688800382685645
 46.30871944021782  59.34119802316526 163.54820056008393 192.56407316982086 463.46910967494483                0.0   8.24253132016235
 44.03747291218608   56.7633642971356  157.4421070378455 192.39882021609716  463.4294415207979                0.0  8.836140773903997
41.892034898893556  54.30035759875974  151.6095199581007 192.24978907132254  463.3952489651964                0.0  9.472500709249461
 39.86347245585359 51.945676919243255 146.02747532207675  192.1150939382576  463.3656478723256                0.0 10.154689924330807
37.943748167767545  49.69348194803081 140.67592887504048 191.99312912751554  463.3401036176646                0.0 10.886008945728117
 36.12559959714629  47.53848866829143 135.53735242320036  191.8825282941514 463.31801666000416                0.0 11.669995996877487
34.402437819039726  45.47588555720332 130.59634110601286 191.78202807181938  463.2988019076763                0.0  12.51044411648951
 32.76826171414586  43.50126047827481  125.8393953265527  191.6905732663129 463.28225712555434                0.0 13.411419509799689
 31.21758597208214 41.610544968713334  121.2546566716559 191.60722529678225 463.26779925284796                0.0 14.377281221436535
 29.74538010410334 39.799964694020495 116.83169587597595 191.53115115962814   463.255367253191                0.0 15.412702225087497
28.347016396418507 38.065999094257364 112.56132041578677 191.46162398346772  463.2444879552097                0.0 16.522692031997533
27.018225743509916 36.405348852428645 108.43544155768998 191.39799418458205  463.2350021313519                0.0 17.712620927683226
25.755057799453397  34.81490753184211 104.44690224532717  191.3396993852302  463.2267872292923                0.0 18.988245954123258
 24.55385081372947  33.29174037106862 100.58938342574984  191.2862326125595 463.21956244592974                0.0  20.35573876313053
 23.41120077945292  31.83306462614465  96.85727081896835 191.23712559950434 463.21328951310113                0.0 21.821715475664465
22.323937099193724 30.436233467058013   93.2455694537679  191.1919770417692   463.207799318902                0.0 23.393268691547153
 21.28910094489092 29.098723334856835  89.74981639921828 191.15044311247752 463.20300206167485                0.0 25.078001804450555
20.303926151629256  27.81812300705506  86.36600492729362 191.11219267324898   463.198785155321                0.0  26.88406578817573
 19.36582223655693  26.59212435958304  83.09051717681977  191.0769369459317  463.1950862031208                0.0 28.820198632201038
18.472360040911624 25.418515111603384   79.9200653497452 191.04441478480064 463.19181541905516                0.0 30.895767617294034
17.621257836262373  24.29517184185186  76.85163545527134  191.0143865270088  463.1889484105543                0.0  33.12081463572255
 16.81037006797097 23.220054875356862  73.88245518599697 190.98664289690677 463.18641500862486                0.0   35.5061047753301
 16.03767664374521  22.19120345368692  71.00993306897398 190.96099594851302 463.18420632003944                0.0  38.06317840253256
15.301273711766598 21.206731872264527   68.2316371728373 190.93728540863248 463.18222533602517                0.0  40.80440699622061
14.599365011142211  20.26482576501005  65.54526285307229 190.91533579157985  463.1804736843345                0.0 43.743053002700236
13.930254314733519   19.3637391221112 62.948605464751445 190.89502358085542  463.1789548282816                0.0  46.89333400125802
 13.29233851556958  18.50179151576655 60.439537387480435 190.87618246518838 463.17760846539414                0.0 50.270491490792836
12.684101332940443 17.677365583920384  58.01599414861582  190.8587324798399 463.17638169114093                0.0  53.89086463031351
12.104107520571988  16.88890469547412  55.67595585082372 190.84254604614637 463.17529488235766 2.7691609021303325 57.771969290069364
11.550997800994338 16.134911260940335  53.41743510117095 190.82753348008026  463.1742647345113  5.775438762728866 61.932582795773556
11.023483918871424 15.413943346949887  51.23847014198333 190.81360462307677 463.17346862665744  7.061796890137343  66.39283477592429
10.520344342360906 14.724615260561153   49.1371142301868 190.80066657194115 463.17269458806027  7.940422398999566  71.17430455175521
10.040420129648234 14.065593628748463   47.1114322854356 190.78865541866463 463.17200500023364  8.612678750157976  76.30012554100162
 9.582611349845164  13.43559652595757  45.15949743522784 190.77748965080067 463.17138111675524  9.156015018219827  81.79509718060241
  9.14587350064871   12.8333917778146 43.279388347885124 190.76710599301256  463.1707998907129   9.60968545461239  87.68580490983504
 8.729214318227621 12.257795290705783 41.469188377100195 190.75746955172636  463.1702891265725  9.996758461025887   94.0007487943793
 8.331690943691276 11.707669600528545  39.72698570409862 190.74850917363784 463.16984211828554 10.332126583285694 100.77048141361044
 7.952407023687413 11.181922243236272 38.050873781107654 190.74018744474162  463.1694494394597 10.626053554502073 108.02775567823984
7.5905102179640185 10.679504326353232  36.43895538955185  190.7324422763173 463.16903027433847  10.88596215492072 115.80768329346581
 7.245189791184743 10.199409066078799  34.88934055485425  190.7252114815511  463.1687256202707  11.11742277824246 124.14790463430094
6.9156743745454206   9.74067036015045  33.40015132744626 190.71849599826086 463.16844157148006 11.324739779606652 133.08877085495692
6.6012298737735176  9.302361392822991 31.969524704110622 190.71226823919787 463.16810730505466  11.51131892973106 142.67353911335672
 6.301157511718297  8.883593271731563   30.5956146436225  190.7064550077205 463.16785779397003 11.679908163025672 152.94858185529915
 6.014791987514665  8.483513686474884 29.276594735036063 190.70104430892613 463.16768698313297 11.832761204594238 163.96361117081958
 5.741499751952483  8.101305606506616 28.010660949611975 190.69599634888627  463.1674594326512 11.971752270331704   175.771919308216
 5.480677373026165  7.736185995428791 26.796034589831102 190.69130552566952  463.1672703451165 12.098458602417905 188.43063650938007
 5.231750037829873  7.387404590111896  25.63096454671438  190.6869506633765 463.16706567346887 12.214221263205301 202.00100741387556
 4.994170049275889  7.054242612363504 24.513729576559836 190.68288180201992  463.1668987150436 12.320190693554053 216.54868736904876
 4.767415535822556  6.736011662045233 23.442640506341284 190.67909122042138 463.16675906253766 12.417361656704887 232.14406007975626
 4.550989162931486 6.4320525572008656 22.416042137644354 190.67555957114075  463.1666233096235 12.506600286853583 248.86257813454696
 4.344416875159506 6.1417341542990345 21.432314871295475 190.67226828808546 463.16649945455964 12.588665326601284 266.78512805581056
