time blob_mass ism_mass r_forward r_reverse total_mass E_blob E_ism blob_energy ism_energy total_energy ism_rest total_lum reverse_lum reverse_lum2 reverse_lum3 blob_mass2 critical_mass maxgamma blob_kinetic swept_up maxgamma_forward maxgamma_blob
0.0 582247.5527734407 0.0 0.0 7.624681886689892 31846055.887881987 0.0 0.0 873371.6448558938 0.0 873371.6448558938 0.0 1.0595238627007634e-06 1.0595238623929065e-06 1.0595238623929065e-06 0.0 232899.03389055218 93159.6224406148 2.499999761581421 873371.169395463 0.0 2.499999761581421 2.499999761581421
3.861111111111111 582974.4302579393 61.900582537737236 12.257399995058433 12.064370073876411 31846123.641631793 0.0 0.0 873468.9689831594 5.214413965058601 873474.1834001675 61.049708612771504 6.8995781824036 4.298236491315836 6.891647866493903 0.0 233723.37571712834 92840.84840424854 2.517462730407715 871459.8776188353 582974.4277316963 2.517462730407715 2.517462730407715
7.722222222222222 584072.1072575604 102.99811185278338 15.924968497516863 15.73193857633484 31846135.527359337 0.0 0.0 873483.7354472678 8.337082217480283 873492.0725345853 101.6947821901572 18.76969294516158 11.444059893265498 18.75724003960638 0.0 234976.42282747276 88826.63009016935 2.6453375816345215 868733.7735858972 584175.1055744562 2.6453375816345215 2.6453375816345215
11.583333333333334 585586.5264876656 254.0923196720798 19.39950707879327 19.206477157611246 31846140.16593655 0.0 0.0 873405.1290019396 93.83898100007978 873499.1094373578 230.84608426083818 37.60456092728191 22.70751021784461 37.318220376640475 0.0 236761.04478094404 88124.10446249391 2.6866774559020996 864634.7245481714 585840.6190015054 2.6866774559020996 2.6866774559020996
15.444444444444445 587719.7931302082 670.4918806378912 23.0670755812517 22.681015738887655 31846142.453363366 0.0 0.0 873219.8417429222 284.03808357065725 873503.8798264929 596.9170290539088 65.78678700047492 39.97742454544586 64.81199814635143 0.0 239323.07435522717 88730.82552363066 2.69718074798584 858850.7023351241 588390.28417639 2.69718074798584 2.69718074798584
19.305555555555557 590940.1190668942 727.4030389851239 26.541614162528106 26.15555432016406 31846143.75468435 0.0 0.0 873326.9751523135 195.04271489738235 873522.0178672108 677.1339571132086 104.94321025907306 64.71608748428856 104.34568760505373 0.0 243069.57224546233 88921.65569632298 2.733525037765503 851279.876277551 591667.5206572143 2.733525037765503 2.733525037765503
23.166666666666668 594783.4298035554 1137.1729335369582 30.01615274380451 29.630092901440467 31846144.61143505 0.0 0.0 873097.0528956355 462.85978855140166 873559.9126841868 1014.6454614789732 157.18460689356442 95.62849855302488 155.62827336953526 0.0 247711.80548423657 91224.16183462109 2.715418815612793 841409.170952646 595920.6007592373 2.715418815612793 2.715418815612793
27.02777777777778 597527.0185748158 3750.241812305514 33.49069132508092 32.91160156153485 31846145.170309562 0.0 0.0 869473.9504788024 4140.713387193231 873614.6638659955 2795.945069954115 221.44034356360726 130.55109848449263 220.29545833727352 0.0 252165.57677677792 92919.32023836364 2.7138121128082275 828436.7667360334 601277.2575760193 2.7138121128082275 2.7138121128082275
30.88888888888889 602907.4271248971 4957.343617326348 36.96522990635732 36.38614014281126 31846145.548366018 0.0 0.0 867848.6890645238 5836.638327375828 873685.3273918997 3632.2741738065797 298.7603266518784 167.85747968564218 276.4069802726441 0.0 258971.13278727725 95489.59201538518 2.7120351791381836 813898.5656096902 607864.7751584968 2.7120351791381836 2.7120351791381836
34.75 609289.6970971302 6521.1322730890815 40.43976848763373 39.86067872408766 31846145.868964557 0.0 0.0 865565.7592751718 8207.081075005532 873772.8403501775 4696.577273846662 387.98981647731347 205.6206746732002 356.0918289464977 0.0 267086.3729332958 98694.84311118953 2.706183671951294 796991.6373768483 615225.1987362015 2.706183671951294 2.706183671951294
38.611111111111114 613588.5094761148 11653.991894736784 43.91430706891014 43.142187384182044 31846146.08634209 0.0 0.0 855525.214245724 18344.357455642217 873869.5717013665 7972.778731268916 486.49118177421275 241.76556717949668 412.2445852109213 0.0 274628.0551904912 101612.80850064145 2.7026913166046143 776080.9314362115 625242.4953838931 2.7026913166046143 2.7026913166046143
42.47222222222222 618965.1630910744 16656.140351445767 47.19581572900452 46.42369604427643 31846146.25796543 0.0 0.0 844790.300286605 29183.103565891157 873973.4085167659 11001.777021024405 594.9962044949823 276.73334097197977 474.8321896167145 0.0 283552.1863704239 104771.38232316593 2.7063896656036377 753061.267581593 635621.3004759024 2.7063896656036377 2.7063896656036377
46.333333333333336 623396.9294598869 24916.802306505284 50.67035431028093 49.705204704370814 31846146.422600083 0.0 0.0 828317.1223343766 45771.16433008563 874088.2866644622 16217.614560878483 717.337512970845 312.55921567055054 595.8031116622473 0.0 292829.9357656894 108090.76737629646 2.709111452102661 725952.7302552877 648313.7320859649 2.709111452102661 2.709111452102661
50.19444444444444 628631.1758143553 34229.37092397629 54.14489289155733 52.9867133644652 31846146.538955078 0.0 0.0 810603.5853605532 63614.32680612241 874217.9121666756 22152.393321192205 852.3360597745178 350.42813270317095 666.4006053947446 0.0 303449.0107645891 111983.79309808668 2.7097582817077637 696458.0533904554 662860.539312327 2.7097582817077637 2.7097582817077637
54.05555555555556 634415.3054179649 43974.90703668494 57.42640155165172 56.268222024559584 31846146.576428443 0.0 0.0 790681.6279456394 83686.07589268751 874367.8167953043 28032.425441036296 1000.3573874667449 393.4985492997795 744.4897615801889 0.0 315346.24970507424 116594.65429324198 2.704637289047241 664369.3531645172 678390.2211396515 2.704637289047241 2.704637289047241
